BAID,Gender,Performance Rating,Business Knowledge,Analytical Ability,Communication,Presentation,Documentation,Demeanour,Skill Level,TravelledBefore,Onsite
Q3876,Male,2,4,2,4,4,5,5,Intermediate,No,Yes
Q4267,Female,2,5,5,2,5,1,4,Intermediate,Yes,Yes
Q3109,Male,4,5,5,4,3,3,3,Competent,Yes,No
Q2331,Female,3,3,4,4,3,2,4,Intermediate,No,Yes
Q4249,Male,1,3,2,3,4,4,4,Competent,No,No
Q2983,Female,3,5,2,4,3,3,5,Competent,Yes,Yes
Q4349,Male,2,5,4,4,4,1,4,Intermediate,No,Yes
Q3208,Male,5,3,2,5,3,5,5,Intermediate,No,Yes
Q4065,Male,4,4,3,4,3,2,4,Expert,Yes,Yes
Q2955,Male,3,3,5,5,4,3,5,Intermediate,No,Yes
Q2634,Male,1,4,5,1,2,5,2,Intermediate,No,No
Q2216,Male,5,1,1,2,3,1,4,Competent,Yes,No
Q4122,Male,3,3,5,3,5,4,4,Expert,Yes,Yes
Q3325,Female,1,4,4,1,4,2,3,Expert,Yes,No
Q3839,Female,3,5,3,5,3,5,5,Competent,No,Yes
Q4047,Female,5,4,5,4,5,2,4,Competent,No,Yes
Q4543,Male,5,3,1,3,3,5,4,Competent,No,Yes
Q4457,Male,3,2,2,1,2,1,4,Intermediate,Yes,No
Q2597,Female,2,5,2,4,5,3,5,Intermediate,No,Yes
Q2703,Male,3,5,5,5,4,4,5,Intermediate,Yes,Yes
Q4050,Male,2,4,4,4,2,5,4,Expert,No,No
Q3215,Female,2,4,2,4,5,2,5,Intermediate,No,Yes
Q2899,Female,2,4,4,3,2,5,5,Intermediate,Yes,Yes
Q3357,Male,3,5,5,3,4,3,5,Intermediate,No,Yes
Q3381,Female,4,1,4,3,2,2,2,Intermediate,No,No
Q4586,Male,5,3,2,2,1,3,2,Competent,Yes,No
Q4291,Male,5,5,1,4,3,3,5,Intermediate,Yes,Yes
Q3979,Female,2,5,2,3,4,3,4,Competent,No,Yes
Q4264,Male,2,2,4,3,1,2,2,Expert,No,No
Q3299,Male,1,4,2,1,3,2,5,Intermediate,Yes,Yes
Q3512,Male,2,4,4,3,3,2,4,Intermediate,No,Yes
Q4266,Female,3,3,5,3,2,4,4,Competent,No,Yes
Q3734,Male,4,4,5,3,5,3,5,Intermediate,No,Yes
Q3047,Male,4,2,2,4,3,4,5,Intermediate,No,No
Q3425,Female,4,5,5,1,2,2,2,Intermediate,Yes,No
Q3209,Male,2,3,4,5,3,3,1,Expert,No,No
Q2876,Male,2,3,3,3,2,2,1,Expert,No,No
Q2110,Male,4,3,4,3,4,3,4,Expert,No,Yes
Q2799,Male,5,5,5,3,4,4,4,Expert,No,Yes
Q2312,Male,2,5,4,3,4,5,4,Competent,No,Yes
Q3167,Female,3,3,4,2,3,2,4,Competent,No,No
Q4031,Female,5,3,5,5,3,4,4,Competent,Yes,Yes
Q2767,Male,5,4,5,2,3,2,1,Intermediate,Yes,No
Q2253,Female,2,5,5,3,3,3,5,Intermediate,Yes,Yes
Q4592,Male,1,3,5,5,3,2,4,Intermediate,No,Yes
Q2291,Male,3,2,3,1,3,5,4,Intermediate,Yes,No
Q3881,Male,2,4,5,4,5,1,4,Intermediate,Yes,Yes
Q3847,Female,2,3,1,4,3,3,4,Competent,Yes,Yes
Q4133,Male,5,5,4,4,4,3,5,Intermediate,Yes,Yes
Q2982,Male,5,5,4,3,5,2,4,Expert,No,Yes
Q3667,Female,5,5,3,3,4,5,4,Intermediate,No,Yes
Q3349,Female,5,5,5,3,4,3,4,Expert,Yes,Yes
Q4487,Female,2,4,4,2,4,2,5,Competent,Yes,No
Q3459,Female,5,4,5,3,1,3,1,Competent,No,No
Q2498,Female,3,3,4,3,5,3,4,Intermediate,No,Yes
Q4216,Male,4,4,1,3,4,2,5,Expert,Yes,Yes
Q4028,Female,4,4,1,5,5,5,4,Competent,No,Yes
Q3968,Male,4,4,2,3,3,2,4,Expert,No,No
Q4348,Male,1,4,4,4,2,1,3,Expert,Yes,Yes
Q2142,Male,3,2,2,1,2,3,4,Expert,No,No
Q3262,Male,1,5,1,2,2,3,3,Intermediate,No,No
Q2907,Female,3,3,3,3,3,3,4,Intermediate,No,Yes
Q3814,Male,1,4,5,4,1,5,5,Expert,Yes,Yes
Q2349,Female,4,5,3,3,5,2,4,Competent,No,Yes
Q2867,Female,2,1,5,2,2,5,4,Expert,No,No
Q3108,Female,5,3,5,4,2,1,2,Competent,No,No
Q2550,Male,4,1,3,3,4,1,2,Expert,No,No
Q4209,Male,4,5,3,3,4,3,4,Intermediate,Yes,Yes
Q3182,Male,2,5,5,5,3,2,4,Competent,Yes,Yes
Q4206,Male,4,3,2,4,5,4,5,Competent,Yes,No
Q3598,Female,2,3,5,3,2,4,1,Intermediate,Yes,No
Q2189,Female,5,2,3,3,4,3,3,Expert,No,No
Q4190,Male,2,5,1,4,4,3,5,Expert,Yes,Yes
Q2201,Male,2,1,5,4,2,3,2,Expert,Yes,No
Q2405,Female,4,4,1,3,1,3,3,Expert,No,No
Q3170,Male,4,3,2,3,5,3,4,Intermediate,Yes,Yes
Q2343,Male,5,3,2,4,3,5,5,Intermediate,No,Yes
Q3550,Female,3,5,2,2,4,1,2,Expert,No,No
Q4211,Female,4,5,3,5,2,3,4,Expert,No,Yes
Q4477,Male,3,4,4,2,3,3,5,Intermediate,Yes,Yes
Q4196,Female,3,4,2,5,4,4,4,Expert,Yes,Yes
Q3026,Female,2,3,5,3,1,4,1,Intermediate,Yes,No
Q3642,Female,2,2,4,3,3,5,2,Expert,Yes,No
Q3499,Female,1,1,5,1,4,2,2,Expert,Yes,No
Q3764,Male,4,4,3,3,5,4,4,Expert,Yes,Yes
Q2674,Male,4,1,3,5,3,5,3,Intermediate,Yes,No
Q2763,Female,3,5,3,4,3,4,5,Expert,Yes,Yes
Q4445,Female,3,5,4,3,5,5,5,Competent,Yes,Yes
Q3907,Male,3,3,3,3,5,2,4,Expert,Yes,Yes
Q3330,Female,2,3,5,5,2,3,1,Expert,No,No
Q2320,Male,2,5,4,3,4,4,5,Competent,Yes,Yes
Q3803,Male,4,4,3,3,5,5,4,Competent,No,Yes
Q3983,Female,1,1,3,2,1,2,1,Competent,No,No
Q2526,Female,1,4,1,4,3,2,4,Intermediate,No,No
Q2576,Female,5,3,3,1,3,4,2,Expert,No,No
Q3721,Male,1,2,5,3,4,5,1,Intermediate,Yes,No
